first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
1,5,9,32,33,37,Thursday,2,6,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,0.3473052528448203,0.9377521321470804
8,9,23,24,28,33,Tuesday,2,4,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,0.6889669190756866,0.72479278722912
4,8,11,12,20,21,Saturday,2,1,5,-0.2225209339563146,-0.9749279121818236,0.5000000000000001,0.8660254037844386,0.9795299412524945,0.20129852008866006
4,7,9,19,33,40,Thursday,1,30,5,-0.2225209339563146,-0.9749279121818236,0.8660254037844387,0.49999999999999994,0.9795299412524943,-0.20129852008866114
12,17,19,20,27,31,Tuesday,1,28,5,-0.2225209339563146,-0.9749279121818236,0.8660254037844387,0.49999999999999994,0.8207634412072763,-0.5712682150947924
7,20,22,24,34,35,Saturday,1,25,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,0.3473052528448203,-0.9377521321470804
3,9,11,15,22,40,Thursday,1,23,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,-0.05064916883871355,-0.9987165071710528
3,10,12,19,32,37,Tuesday,1,21,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,-0.44039415155763423,-0.8978045395707417
3,8,25,26,27,41,Saturday,1,18,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.8743466161445822,-0.4853019625310808
11,12,22,29,33,36,Thursday,1,16,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.9948693233918952,-0.10116832198743204
8,14,24,36,37,42,Tuesday,1,14,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.9541392564000488,0.29936312297335804
16,19,21,22,34,38,Saturday,1,11,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.6121059825476626,0.7907757369376989
13,19,20,21,23,27,Thursday,1,9,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.2506525322587204,0.9680771188662043
6,10,25,32,38,41,Tuesday,1,7,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,0.1514277775045767,0.9884683243281114
6,7,18,26,33,40,Saturday,1,4,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,0.6889669190756866,0.72479278722912
4,10,14,15,16,39,Thursday,1,2,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,0.9189578116202306,0.39435585511331855
14,19,29,37,38,41,Tuesday,12,31,1,0.6234898018587336,0.7818314824680298,1.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16
3,11,16,31,34,41,Saturday,12,28,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.8207634412072763,-0.5712682150947924
3,20,29,36,40,41,Thursday,12,26,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.5289640103269624,-0.8486442574947509
1,15,16,20,24,41,Tuesday,12,24,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.15142777750457667,-0.9884683243281114
2,4,25,32,34,38,Saturday,12,21,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.44039415155763423,-0.8978045395707417
5,10,12,17,30,36,Thursday,12,19,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.7587581226927911,-0.651372482722222
1,10,18,24,34,35,Tuesday,12,17,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.9541392564000488,-0.2993631229733582
3,4,11,13,27,38,Saturday,12,14,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.9541392564000488,0.29936312297335804
4,15,18,21,32,37,Thursday,12,12,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.758758122692791,0.6513724827222223
12,19,21,25,38,42,Tuesday,12,10,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.4403941515576344,0.8978045395707416
2,3,11,16,18,30,Saturday,12,7,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.1514277775045767,0.9884683243281114
4,9,17,26,29,41,Thursday,12,5,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.5289640103269624,0.8486442574947509
3,6,15,20,23,25,Tuesday,12,3,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.8207634412072763,0.5712682150947923
1,7,24,33,40,42,Saturday,11,30,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.9795299412524943,-0.20129852008866114
8,10,12,20,26,32,Thursday,11,28,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.8207634412072763,-0.5712682150947924
1,2,15,22,34,36,Tuesday,11,26,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.5289640103269624,-0.8486442574947509
15,17,18,30,35,40,Saturday,11,23,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.05064916883871355,-0.9987165071710528
14,16,28,32,36,38,Thursday,11,21,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.44039415155763423,-0.8978045395707417
10,26,32,36,40,41,Tuesday,11,19,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.7587581226927911,-0.651372482722222
2,3,17,26,30,41,Saturday,11,16,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.9948693233918952,-0.10116832198743204
4,14,15,18,39,42,Thursday,11,14,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.9541392564000488,0.29936312297335804
3,5,16,24,25,32,Tuesday,11,12,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.758758122692791,0.6513724827222223
