Date,first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
2021-06-03,1,6,14,24,32,40,Thursday,6,3,22,0.6234898018587369,0.7818314824680271,-1.0,1.2246467991473532e-16,0.8207634412072763,0.5712682150947923
2021-06-01,11,20,24,26,31,37,Tuesday,6,1,22,0.6234898018587369,0.7818314824680271,-1.0,1.2246467991473532e-16,0.9795299412524945,0.20129852008866006
2021-05-29,13,23,24,26,27,41,Saturday,5,29,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,0.9189578116202306,-0.3943558551133187
2021-05-27,5,11,21,25,31,39,Thursday,5,27,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,0.6889669190756865,-0.72479278722912
2021-05-25,1,15,26,29,36,40,Tuesday,5,25,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,0.3473052528448203,-0.9377521321470804
2021-05-22,4,14,33,35,36,37,Saturday,5,22,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.2506525322587213,-0.9680771188662041
2021-05-20,2,9,15,28,36,42,Thursday,5,20,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.6121059825476627,-0.7907757369376986
2021-05-18,2,7,20,22,26,32,Tuesday,5,18,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.8743466161445822,-0.4853019625310808
2021-05-15,13,14,21,27,29,40,Saturday,5,15,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.994869323391895,0.10116832198743272
2021-05-13,5,12,20,32,40,42,Thursday,5,13,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.8743466161445821,0.48530196253108104
2021-05-11,4,11,14,22,26,41,Tuesday,5,11,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.6121059825476626,0.7907757369376989
2021-05-08,3,6,8,15,24,36,Saturday,5,8,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,-0.05064916883871264,0.9987165071710528
2021-05-06,2,14,19,23,34,41,Thursday,5,6,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,0.3473052528448203,0.9377521321470804
2021-05-04,2,6,8,14,22,29,Tuesday,5,4,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,0.6889669190756866,0.72479278722912
