Date,first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
2018-12-13,8,11,14,19,36,38,Thursday,12,13,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.8743466161445821,0.48530196253108104
2018-12-11,2,3,9,13,22,27,Tuesday,12,11,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.6121059825476626,0.7907757369376989
2018-12-08,7,8,13,15,29,40,Saturday,12,8,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,-0.05064916883871264,0.9987165071710528
2018-12-06,5,16,20,24,34,41,Thursday,12,6,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.3473052528448203,0.9377521321470804
2018-12-04,8,15,17,23,26,32,Tuesday,12,4,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.6889669190756866,0.72479278722912
2018-12-01,1,11,15,23,24,26,Saturday,12,1,48,0.6234898018587323,-0.7818314824680308,1.0,-2.4492935982947064e-16,0.9795299412524945,0.20129852008866006
2018-11-29,4,5,13,19,38,41,Thursday,11,29,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.9189578116202306,-0.3943558551133187
2018-11-27,1,6,10,20,26,39,Tuesday,11,27,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.6889669190756865,-0.72479278722912
2018-11-24,17,19,25,28,29,32,Saturday,11,24,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,0.15142777750457667,-0.9884683243281114
2018-11-22,1,16,20,34,40,41,Thursday,11,22,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.2506525322587213,-0.9680771188662041
2018-11-20,16,20,23,28,29,30,Tuesday,11,20,47,-0.222520933956316,-0.9749279121818233,0.8660254037844384,-0.5000000000000004,-0.6121059825476627,-0.7907757369376986
2018-11-17,5,24,27,29,32,41,Saturday,11,17,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.9541392564000488,-0.2993631229733582
2018-11-15,10,18,25,32,33,38,Thursday,11,15,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.994869323391895,0.10116832198743272
2018-11-13,3,9,18,25,38,39,Tuesday,11,13,46,-0.9009688679024198,-0.4338837391175567,0.8660254037844384,-0.5000000000000004,-0.8743466161445821,0.48530196253108104
2018-11-10,2,12,22,28,32,42,Saturday,11,10,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,-0.4403941515576344,0.8978045395707416
2018-11-08,10,14,18,26,27,37,Thursday,11,8,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,-0.05064916883871264,0.9987165071710528
2018-11-06,2,8,10,19,22,31,Tuesday,11,6,45,-0.9009688679024185,0.43388373911755956,0.8660254037844384,-0.5000000000000004,0.3473052528448203,0.9377521321470804
2018-11-03,7,8,19,25,29,41,Saturday,11,3,44,-0.22252093395630598,0.9749279121818255,0.8660254037844384,-0.5000000000000004,0.8207634412072763,0.5712682150947923
2018-11-01,10,12,16,26,30,39,Thursday,11,1,44,-0.22252093395630598,0.9749279121818255,0.8660254037844384,-0.5000000000000004,0.9795299412524945,0.20129852008866006
2018-10-30,1,6,8,14,19,31,Tuesday,10,30,44,-0.22252093395630598,0.9749279121818255,0.5000000000000001,-0.8660254037844386,0.9795299412524943,-0.20129852008866114
2018-10-27,1,3,5,15,21,41,Saturday,10,27,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,0.6889669190756865,-0.72479278722912
2018-10-25,3,5,30,31,35,41,Thursday,10,25,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,0.3473052528448203,-0.9377521321470804
2018-10-23,3,19,20,27,29,31,Tuesday,10,23,43,0.6234898018587347,0.7818314824680289,0.5000000000000001,-0.8660254037844386,-0.05064916883871355,-0.9987165071710528
2018-10-20,2,4,14,32,37,39,Saturday,10,20,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.6121059825476627,-0.7907757369376986
2018-10-18,1,8,16,17,18,39,Thursday,10,18,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.8743466161445822,-0.4853019625310808
2018-10-16,4,10,14,25,29,32,Tuesday,10,16,42,1.0,-1.4695761589768238e-15,0.5000000000000001,-0.8660254037844386,-0.9948693233918952,-0.10116832198743204
2018-10-13,2,6,10,32,34,40,Saturday,10,13,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.8743466161445821,0.48530196253108104
2018-10-11,7,11,14,20,22,33,Thursday,10,11,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.6121059825476626,0.7907757369376989
2018-10-09,11,12,18,29,32,33,Tuesday,10,9,41,0.6234898018587324,-0.7818314824680307,0.5000000000000001,-0.8660254037844386,-0.2506525322587204,0.9680771188662043
2018-10-06,1,11,17,21,29,31,Saturday,10,6,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.3473052528448203,0.9377521321470804
2018-10-04,2,26,27,28,29,35,Thursday,10,4,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.6889669190756866,0.72479278722912
2018-10-02,4,19,21,22,32,34,Tuesday,10,2,40,-0.22252093395631578,-0.9749279121818233,0.5000000000000001,-0.8660254037844386,0.9189578116202306,0.39435585511331855
2018-09-29,2,3,9,12,24,37,Saturday,9,29,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.9189578116202306,-0.3943558551133187
2018-09-27,10,17,18,20,25,42,Thursday,9,27,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.6889669190756865,-0.72479278722912
2018-09-25,8,9,14,19,22,42,Tuesday,9,25,39,-0.9009688679024197,-0.4338837391175569,-1.8369701987210297e-16,-1.0,0.3473052528448203,-0.9377521321470804
2018-09-22,1,11,22,28,33,34,Saturday,9,22,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.2506525322587213,-0.9680771188662041
2018-09-20,7,9,15,16,24,32,Thursday,9,20,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.6121059825476627,-0.7907757369376986
2018-09-18,5,7,11,16,35,41,Tuesday,9,18,38,-0.9009688679024186,0.43388373911755934,-1.8369701987210297e-16,-1.0,-0.8743466161445822,-0.4853019625310808
2018-09-15,17,24,37,38,39,42,Saturday,9,15,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.994869323391895,0.10116832198743272
2018-09-13,3,5,9,14,30,35,Thursday,9,13,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.8743466161445821,0.48530196253108104
2018-09-11,2,14,17,21,31,38,Tuesday,9,11,37,-0.22252093395631314,0.9749279121818238,-1.8369701987210297e-16,-1.0,-0.6121059825476626,0.7907757369376989
2018-09-08,10,13,21,23,26,35,Saturday,9,8,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,-0.05064916883871264,0.9987165071710528
2018-09-06,1,4,6,13,15,37,Thursday,9,6,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.3473052528448203,0.9377521321470804
2018-09-04,2,15,24,30,36,42,Tuesday,9,4,36,0.6234898018587345,0.781831482468029,-1.8369701987210297e-16,-1.0,0.6889669190756866,0.72479278722912
2018-09-01,3,6,10,13,14,36,Saturday,9,1,35,1.0,-1.2246467991473533e-15,-1.8369701987210297e-16,-1.0,0.9795299412524945,0.20129852008866006
2018-08-30,9,14,16,29,34,38,Thursday,8,30,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,0.9795299412524943,-0.20129852008866114
2018-08-28,4,7,13,18,22,24,Tuesday,8,28,35,1.0,-1.2246467991473533e-15,-0.5000000000000004,-0.8660254037844385,0.8207634412072763,-0.5712682150947924
2018-08-25,22,23,26,28,30,35,Saturday,8,25,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,0.3473052528448203,-0.9377521321470804
2018-08-23,1,13,15,16,22,36,Thursday,8,23,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,-0.05064916883871355,-0.9987165071710528
2018-08-21,8,9,16,20,28,38,Tuesday,8,21,34,0.6234898018587354,-0.7818314824680284,-0.5000000000000004,-0.8660254037844385,-0.44039415155763423,-0.8978045395707417
2018-08-18,1,6,14,25,34,38,Saturday,8,18,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.8743466161445822,-0.4853019625310808
2018-08-16,10,15,18,23,30,36,Thursday,8,16,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.9948693233918952,-0.10116832198743204
2018-08-14,8,26,30,32,36,39,Tuesday,8,14,33,-0.22252093395631553,-0.9749279121818234,-0.5000000000000004,-0.8660254037844385,-0.9541392564000488,0.29936312297335804
2018-08-11,7,20,27,29,37,39,Saturday,8,11,32,-0.9009688679024196,-0.4338837391175571,-0.5000000000000004,-0.8660254037844385,-0.6121059825476626,0.7907757369376989
2018-08-09,2,16,18,29,35,41,Thursday,8,9,32,-0.9009688679024196,-0.4338837391175571,-0.5000000000000004,-0.8660254037844385,-0.2506525322587204,0.9680771188662043
2018-08-07,1,13,19,22,24,32,Tuesday,8,7,32,-0.9009688679024196,-0.4338837391175571,-0.5000000000000004,-0.8660254037844385,0.1514277775045767,0.9884683243281114
2018-08-04,1,5,11,22,28,40,Saturday,8,4,31,-0.9009688679024187,0.4338837391175591,-0.5000000000000004,-0.8660254037844385,0.6889669190756866,0.72479278722912
2018-08-02,8,14,16,26,36,39,Thursday,8,2,31,-0.9009688679024187,0.4338837391175591,-0.5000000000000004,-0.8660254037844385,0.9189578116202306,0.39435585511331855
2018-07-31,2,5,23,32,38,40,Tuesday,7,31,31,-0.9009688679024187,0.4338837391175591,-0.8660254037844388,-0.4999999999999997,1.0,-2.4492935982947064e-16
2018-07-28,9,13,28,33,37,42,Saturday,7,28,30,-0.22252093395630992,0.9749279121818246,-0.8660254037844388,-0.4999999999999997,0.8207634412072763,-0.5712682150947924
2018-07-26,2,8,12,22,33,35,Thursday,7,26,30,-0.22252093395630992,0.9749279121818246,-0.8660254037844388,-0.4999999999999997,0.5289640103269624,-0.8486442574947509
2018-07-24,1,4,7,14,32,34,Tuesday,7,24,30,-0.22252093395630992,0.9749279121818246,-0.8660254037844388,-0.4999999999999997,0.15142777750457667,-0.9884683243281114
2018-07-21,6,17,29,31,33,39,Saturday,7,21,29,0.6234898018587344,0.7818314824680291,-0.8660254037844388,-0.4999999999999997,-0.44039415155763423,-0.8978045395707417
2018-07-19,9,13,30,36,39,41,Thursday,7,19,29,0.6234898018587344,0.7818314824680291,-0.8660254037844388,-0.4999999999999997,-0.7587581226927911,-0.651372482722222
2018-07-17,12,28,30,31,34,37,Tuesday,7,17,29,0.6234898018587344,0.7818314824680291,-0.8660254037844388,-0.4999999999999997,-0.9541392564000488,-0.2993631229733582
2018-07-14,8,12,26,31,33,35,Saturday,7,14,28,1.0,-9.797174393178826e-16,-0.8660254037844388,-0.4999999999999997,-0.9541392564000488,0.29936312297335804
2018-07-12,12,13,22,30,35,39,Thursday,7,12,28,1.0,-9.797174393178826e-16,-0.8660254037844388,-0.4999999999999997,-0.758758122692791,0.6513724827222223
2018-07-10,16,24,27,31,32,40,Tuesday,7,10,28,1.0,-9.797174393178826e-16,-0.8660254037844388,-0.4999999999999997,-0.4403941515576344,0.8978045395707416
2018-07-07,2,7,11,33,36,39,Saturday,7,7,27,0.6234898018587328,-0.7818314824680304,-0.8660254037844388,-0.4999999999999997,0.1514277775045767,0.9884683243281114
2018-07-05,4,15,27,29,30,34,Thursday,7,5,27,0.6234898018587328,-0.7818314824680304,-0.8660254037844388,-0.4999999999999997,0.5289640103269624,0.8486442574947509
2018-07-03,13,19,21,32,41,42,Tuesday,7,3,27,0.6234898018587328,-0.7818314824680304,-0.8660254037844388,-0.4999999999999997,0.8207634412072763,0.5712682150947923
2018-06-30,6,20,27,38,39,42,Saturday,6,30,26,-0.22252093395631184,-0.9749279121818242,-1.0,1.2246467991473532e-16,0.9795299412524943,-0.20129852008866114
2018-06-28,1,16,23,30,34,35,Thursday,6,28,26,-0.22252093395631184,-0.9749279121818242,-1.0,1.2246467991473532e-16,0.8207634412072763,-0.5712682150947924
2018-06-26,7,15,19,26,27,39,Tuesday,6,26,26,-0.22252093395631184,-0.9749279121818242,-1.0,1.2246467991473532e-16,0.5289640103269624,-0.8486442574947509
2018-06-23,8,20,27,32,40,42,Saturday,6,23,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,-0.05064916883871355,-0.9987165071710528
2018-06-21,1,8,16,23,30,39,Thursday,6,21,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,-0.44039415155763423,-0.8978045395707417
2018-06-19,11,24,30,32,34,39,Tuesday,6,19,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,-0.7587581226927911,-0.651372482722222
2018-06-16,2,8,23,29,38,41,Saturday,6,16,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.9948693233918952,-0.10116832198743204
2018-06-14,2,3,10,21,24,36,Thursday,6,14,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.9541392564000488,0.29936312297335804
2018-06-12,5,14,20,30,35,36,Tuesday,6,12,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.758758122692791,0.6513724827222223
2018-06-09,12,21,22,30,37,40,Saturday,6,9,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,-0.2506525322587204,0.9680771188662043
2018-06-07,11,27,29,33,35,36,Thursday,6,7,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,0.1514277775045767,0.9884683243281114
2018-06-05,1,17,24,26,30,41,Tuesday,6,5,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,0.5289640103269624,0.8486442574947509
2018-06-02,17,23,24,25,29,35,Saturday,6,2,22,0.6234898018587369,0.7818314824680271,-1.0,1.2246467991473532e-16,0.9189578116202306,0.39435585511331855
2018-05-31,3,15,24,30,31,36,Thursday,5,31,22,0.6234898018587369,0.7818314824680271,-0.8660254037844387,0.49999999999999994,1.0,-2.4492935982947064e-16
2018-05-29,1,13,14,28,33,40,Tuesday,5,29,22,0.6234898018587369,0.7818314824680271,-0.8660254037844387,0.49999999999999994,0.9189578116202306,-0.3943558551133187
2018-05-26,13,16,21,23,34,38,Saturday,5,26,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,0.5289640103269624,-0.8486442574947509
2018-05-24,2,15,27,29,30,37,Thursday,5,24,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,0.15142777750457667,-0.9884683243281114
2018-05-22,8,11,26,29,30,33,Tuesday,5,22,21,1.0,-7.347880794884119e-16,-0.8660254037844387,0.49999999999999994,-0.2506525322587213,-0.9680771188662041
2018-05-19,4,8,16,18,29,38,Saturday,5,19,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.7587581226927911,-0.651372482722222
2018-05-17,5,6,14,18,30,33,Thursday,5,17,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.9541392564000488,-0.2993631229733582
2018-05-15,3,10,13,38,40,42,Tuesday,5,15,20,0.6234898018587329,-0.7818314824680302,-0.8660254037844387,0.49999999999999994,-0.994869323391895,0.10116832198743272
2018-05-12,15,16,24,25,39,40,Saturday,5,12,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.758758122692791,0.6513724827222223
2018-05-10,3,9,10,18,37,41,Thursday,5,10,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.4403941515576344,0.8978045395707416
2018-05-08,4,7,17,23,26,38,Tuesday,5,8,19,-0.22252093395631506,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,-0.05064916883871264,0.9987165071710528
2018-05-05,1,5,12,15,24,39,Saturday,5,5,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,0.5289640103269624,0.8486442574947509
2018-05-03,1,12,22,23,25,26,Thursday,5,3,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,0.8207634412072763,0.5712682150947923
2018-05-01,12,14,17,28,31,36,Tuesday,5,1,18,-0.9009688679024194,-0.43388373911755757,-0.8660254037844387,0.49999999999999994,0.9795299412524945,0.20129852008866006
2018-04-28,2,3,22,35,37,42,Saturday,4,28,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,0.8207634412072763,-0.5712682150947924
2018-04-26,4,13,22,23,32,41,Thursday,4,26,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,0.5289640103269624,-0.8486442574947509
2018-04-24,3,8,12,23,25,41,Tuesday,4,24,17,-0.9009688679024196,0.43388373911755707,-0.4999999999999998,0.8660254037844387,0.15142777750457667,-0.9884683243281114
2018-04-21,4,11,12,14,33,39,Saturday,4,21,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.44039415155763423,-0.8978045395707417
2018-04-19,11,14,16,23,29,31,Thursday,4,19,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.7587581226927911,-0.651372482722222
2018-04-17,4,6,30,39,41,42,Tuesday,4,17,16,-0.22252093395631387,0.9749279121818237,-0.4999999999999998,0.8660254037844387,-0.9541392564000488,-0.2993631229733582
2018-04-14,3,10,18,29,35,41,Saturday,4,14,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.9541392564000488,0.29936312297335804
2018-04-12,9,12,27,29,32,33,Thursday,4,12,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.758758122692791,0.6513724827222223
2018-04-10,2,11,25,31,34,39,Tuesday,4,10,15,0.6234898018587354,0.7818314824680284,-0.4999999999999998,0.8660254037844387,-0.4403941515576344,0.8978045395707416
2018-04-07,11,16,18,26,30,36,Saturday,4,7,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,0.1514277775045767,0.9884683243281114
2018-04-05,3,8,20,22,31,40,Thursday,4,5,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,0.5289640103269624,0.8486442574947509
2018-04-03,7,19,27,29,36,38,Tuesday,4,3,14,1.0,-4.898587196589413e-16,-0.4999999999999998,0.8660254037844387,0.8207634412072763,0.5712682150947923
2018-03-27,1,5,8,22,34,38,Tuesday,3,27,13,0.6234898018587346,-0.781831482468029,6.123233995736766e-17,1.0,0.6889669190756865,-0.72479278722912
2018-03-24,4,8,17,21,31,32,Saturday,3,24,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,0.15142777750457667,-0.9884683243281114
2018-03-22,4,6,15,20,39,42,Thursday,3,22,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,-0.2506525322587213,-0.9680771188662041
2018-03-20,5,11,26,30,34,38,Tuesday,3,20,12,-0.2225209339563148,-0.9749279121818235,6.123233995736766e-17,1.0,-0.6121059825476627,-0.7907757369376986
2018-03-17,8,9,12,23,24,31,Saturday,3,17,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.9541392564000488,-0.2993631229733582
2018-03-15,2,9,17,27,37,42,Thursday,3,15,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.994869323391895,0.10116832198743272
2018-03-13,2,3,28,32,36,41,Tuesday,3,13,11,-0.90096886790242,-0.4338837391175562,6.123233995736766e-17,1.0,-0.8743466161445821,0.48530196253108104
2018-03-10,3,26,38,39,41,42,Saturday,3,10,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,-0.4403941515576344,0.8978045395707416
2018-03-08,14,24,25,27,36,38,Thursday,3,8,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,-0.05064916883871264,0.9987165071710528
2018-03-06,4,5,23,30,37,39,Tuesday,3,6,10,-0.9009688679024189,0.43388373911755845,6.123233995736766e-17,1.0,0.3473052528448203,0.9377521321470804
2018-03-03,8,19,24,30,35,39,Saturday,3,3,9,-0.2225209339563141,0.9749279121818237,6.123233995736766e-17,1.0,0.8207634412072763,0.5712682150947923
2018-03-01,7,14,25,34,40,42,Thursday,3,1,9,-0.2225209339563141,0.9749279121818237,6.123233995736766e-17,1.0,0.9795299412524945,0.20129852008866006
2018-02-27,10,12,19,26,28,36,Tuesday,2,27,9,-0.2225209339563141,0.9749279121818237,0.5000000000000001,0.8660254037844386,0.6889669190756865,-0.72479278722912
2018-02-24,9,12,17,25,32,34,Saturday,2,24,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,0.15142777750457667,-0.9884683243281114
2018-02-22,18,25,27,30,35,41,Thursday,2,22,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,-0.2506525322587213,-0.9680771188662041
2018-02-20,2,21,25,34,35,40,Tuesday,2,20,8,0.6234898018587337,0.7818314824680296,0.5000000000000001,0.8660254037844386,-0.6121059825476627,-0.7907757369376986
2018-02-17,5,19,22,33,40,41,Saturday,2,17,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.9541392564000488,-0.2993631229733582
2018-02-15,1,21,22,24,28,39,Thursday,2,15,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.994869323391895,0.10116832198743272
2018-02-13,7,19,21,22,31,35,Tuesday,2,13,7,1.0,-2.4492935982947064e-16,0.5000000000000001,0.8660254037844386,-0.8743466161445821,0.48530196253108104
2018-02-10,6,8,18,23,30,41,Saturday,2,10,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,-0.4403941515576344,0.8978045395707416
2018-02-08,7,8,11,19,30,32,Thursday,2,8,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,-0.05064916883871264,0.9987165071710528
2018-02-06,1,4,9,21,29,36,Tuesday,2,6,6,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,0.3473052528448203,0.9377521321470804
2018-02-03,3,14,19,21,22,29,Saturday,2,3,5,-0.2225209339563146,-0.9749279121818236,0.5000000000000001,0.8660254037844386,0.8207634412072763,0.5712682150947923
2018-02-01,6,13,14,18,30,34,Thursday,2,1,5,-0.2225209339563146,-0.9749279121818236,0.5000000000000001,0.8660254037844386,0.9795299412524945,0.20129852008866006
2018-01-30,2,6,11,12,20,35,Tuesday,1,30,5,-0.2225209339563146,-0.9749279121818236,0.8660254037844387,0.49999999999999994,0.9795299412524943,-0.20129852008866114
2018-01-27,4,6,7,12,24,30,Saturday,1,27,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,0.6889669190756865,-0.72479278722912
2018-01-25,2,5,10,16,24,26,Thursday,1,25,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,0.3473052528448203,-0.9377521321470804
2018-01-23,5,11,24,31,33,42,Tuesday,1,23,4,-0.9009688679024191,-0.433883739117558,0.8660254037844387,0.49999999999999994,-0.05064916883871355,-0.9987165071710528
2018-01-20,6,16,25,29,30,38,Saturday,1,20,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.6121059825476627,-0.7907757369376986
2018-01-18,1,5,17,35,37,40,Thursday,1,18,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.8743466161445822,-0.4853019625310808
2018-01-16,4,7,8,12,32,38,Tuesday,1,16,3,-0.900968867902419,0.43388373911755823,0.8660254037844387,0.49999999999999994,-0.9948693233918952,-0.10116832198743204
2018-01-13,2,8,12,25,31,32,Saturday,1,13,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.8743466161445821,0.48530196253108104
2018-01-11,1,3,11,24,38,41,Thursday,1,11,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.6121059825476626,0.7907757369376989
2018-01-09,7,11,27,28,34,42,Tuesday,1,9,2,-0.22252093395631434,0.9749279121818236,0.8660254037844387,0.49999999999999994,-0.2506525322587204,0.9680771188662043
2018-01-06,11,13,15,24,28,40,Saturday,1,6,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,0.3473052528448203,0.9377521321470804
2018-01-04,5,11,16,19,26,30,Thursday,1,4,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,0.6889669190756866,0.72479278722912
2018-01-02,4,14,16,17,19,29,Tuesday,1,2,1,0.6234898018587336,0.7818314824680298,0.8660254037844387,0.49999999999999994,0.9189578116202306,0.39435585511331855
2017-12-30,5,10,11,28,38,41,Saturday,12,30,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.9795299412524943,-0.20129852008866114
2017-12-28,6,10,16,17,30,38,Thursday,12,28,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.8207634412072763,-0.5712682150947924
2017-12-26,2,14,33,34,39,41,Tuesday,12,26,52,-0.9009688679024214,0.43388373911755335,1.0,-2.4492935982947064e-16,0.5289640103269624,-0.8486442574947509
2017-12-23,16,18,29,31,39,41,Saturday,12,23,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.05064916883871355,-0.9987165071710528
2017-12-21,3,19,26,27,36,39,Thursday,12,21,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.44039415155763423,-0.8978045395707417
2017-12-19,2,4,17,18,28,34,Tuesday,12,19,51,-0.22252093395631267,0.974927912181824,1.0,-2.4492935982947064e-16,-0.7587581226927911,-0.651372482722222
2017-12-16,3,8,13,19,22,26,Saturday,12,16,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.9948693233918952,-0.10116832198743204
2017-12-14,1,5,14,16,23,28,Thursday,12,14,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.9541392564000488,0.29936312297335804
2017-12-12,15,17,18,20,24,40,Tuesday,12,12,50,0.6234898018587349,0.7818314824680287,1.0,-2.4492935982947064e-16,-0.758758122692791,0.6513724827222223
2017-12-09,4,11,12,25,27,30,Saturday,12,9,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,-0.2506525322587204,0.9680771188662043
2017-12-07,9,10,21,24,27,37,Thursday,12,7,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.1514277775045767,0.9884683243281114
2017-12-05,11,14,15,21,23,30,Tuesday,12,5,49,1.0,-1.7145055188062944e-15,1.0,-2.4492935982947064e-16,0.5289640103269624,0.8486442574947509
2017-12-02,4,21,27,30,33,39,Saturday,12,2,48,0.6234898018587323,-0.7818314824680308,1.0,-2.4492935982947064e-16,0.9189578116202306,0.39435585511331855
2017-11-30,3,9,26,27,31,33,Thursday,11,30,48,0.6234898018587323,-0.7818314824680308,0.8660254037844384,-0.5000000000000004,0.9795299412524943,-0.20129852008866114
